School_Name,District,College_Name,College_Type,County_Name,County_Population,City,City_Population,ZIP,Zip_Population,State
DNE,DNE,WellSpring School of Allied Health-Lawrence,2,Douglas County,119547,Lawrence,95459,DNE,-1,KS
Deerfield Elem,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66049,31351,KS
Hillcrest Elem,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66044,29052,KS
Langston Hughes Elem,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66049,31351,KS
Lawrence Free State High,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66049,31351,KS
Lawrence High,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66046,19972,KS
Lawrence Liberty Memorial Central Mid School,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66044,29052,KS
Lawrence Southwest Middle School,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66047,20344,KS
Lawrence Virtual School,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66044,29052,KS
Lawrence West Middle School,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66049,31351,KS
New York Elem,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66044,29052,KS
Prairie Park Elem,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66046,19972,KS
Quail Run Elementary,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66049,31351,KS
Schwegler Elem,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66046,19972,KS
Sunflower Elementary,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66047,20344,KS
Woodlawn Elem,Lawrence,DNE,-1,Douglas County,119547,Lawrence,95459,66044,29052,KS
Lecompton Elem,Perry Public Schools,DNE,-1,Douglas County,119547,Lecompton,762,66050,1777,KS
Kinsley Jr/Sr High School,Kinsley-Offerle,DNE,-1,Edwards County,2817,Kinsley,1342,67547,1658,KS
Lewis Elem,Lewis,DNE,-1,Edwards County,2817,Lewis,477,67552,683,KS
Kinsley-Offerle Elementary Pre-K-5,Kinsley-Offerle,DNE,-1,Edwards County,2817,Offerle,186,67563,378,KS
West Elk Schools,West Elk,DNE,-1,Elk County,2464,Howard,553,67349,764,KS
West Elk Virtual Academy,West Elk,DNE,-1,Elk County,2464,Howard,553,67349,764,KS
Elk Valley Elementary,Elk Valley,DNE,-1,Elk County,2464,Longton,286,67352,475,KS
Elk Valley High School,Elk Valley,DNE,-1,Elk County,2464,Longton,286,67352,475,KS
Ellis Jr/Sr High,Ellis,DNE,-1,Ellis County,28870,Ellis,2145,67637,2809,KS
Washington Elem,Ellis,DNE,-1,Ellis County,28870,Ellis,2145,67637,2809,KS
DNE,DNE,Fort Hays State University,1,Ellis County,28870,Hays,21078,DNE,-1,KS
DNE,DNE,Hays Academy of Hair Design,3,Ellis County,28870,Hays,21078,DNE,-1,KS
Hays High,Hays,DNE,-1,Ellis County,28870,Hays,21078,67601,24279,KS
Hays Middle School,Hays,DNE,-1,Ellis County,28870,Hays,21078,67601,24279,KS
Hays Virtual School,Hays,DNE,-1,Ellis County,28870,Hays,21078,67601,24279,KS
Kathryn O'Loughlin McCarthy Elem,Hays,DNE,-1,Ellis County,28870,Hays,21078,67601,24279,KS
Lincoln Elem,Hays,DNE,-1,Ellis County,28870,Hays,21078,67601,24279,KS
Roosevelt Elem,Hays,DNE,-1,Ellis County,28870,Hays,21078,67601,24279,KS
