County_Name,City,ZIP,County_Population,City_Population,Zip_Population,Elementary_Schools,Middle_Schools,High_Schools,Virtual_Schools,Other_Schools,Four_Year_Or_Above_Colleges,Two_Year_Colleges,Less_Than_Two_Year_Colleges
Labette County,Oswego,67356,19949,1770,2693,1,0,1,1,0,0,0,0
Labette County,Parsons,67357,19949,9482,11786,1,1,1,0,4,0,1,0
Labette County,Parsons,DNE,19949,9482,-1,0,0,0,0,1,0,1,0
Lane County,Dighton,67839,1497,703,941,1,0,1,0,0,0,0,0
Lane County,Healy,67850,1497,-1,560,1,0,1,0,0,0,0,0
Leavenworth County,Basehor,66007,82493,7229,10060,3,1,1,1,0,0,0,0
Leavenworth County,Bonner Springs,66012,82493,7735,10301,1,0,0,0,0,0,0,0
Leavenworth County,Easton,66020,82493,307,1763,1,1,1,0,0,0,0,0
Leavenworth County,Fort Leavenworth,66027,82493,-1,7249,3,1,0,0,0,0,0,0
Leavenworth County,Lansing,66043,82493,11229,10821,1,1,1,0,1,0,0,0
Leavenworth County,Leavenworth,66048,82493,37176,35551,2,1,1,1,3,1,0,0
Leavenworth County,Leavenworth,DNE,82493,37176,-1,0,0,0,0,1,1,0,0
Leavenworth County,Tonganoxie,66086,82493,5693,10935,1,1,1,0,0,0,0,0
Lincoln County,Lincoln,67455,2924,-1,1609,1,0,1,0,0,0,0,0
Lincoln County,Sylvan Grove,67481,2924,313,738,0,0,1,0,0,0,0,0
Linn County,LaCygne,66040,9723,-1,3527,1,1,1,0,0,0,0,0
Linn County,Mound City,66056,9723,866,1428,1,0,1,0,0,0,0,0
Linn County,Parker,66072,9723,336,1201,1,0,0,0,0,0,0,0
Linn County,Pleasanton,66075,9723,1434,2305,1,0,1,0,0,0,0,0
Logan County,Oakley,67748,2720,2049,2695,1,1,1,0,0,0,0,0
Logan County,Winona,67764,2720,183,334,1,0,1,0,0,0,0,0
Lyon County,Allen,66833,32145,276,576,0,0,0,0,1,0,0,0
Lyon County,Americus,66835,32145,1147,1369,1,0,0,0,0,0,0,0
Lyon County,Emporia,66801,32145,24098,27348,6,1,1,0,0,1,1,0
Lyon County,Emporia,DNE,32145,24098,-1,0,0,0,0,1,1,1,0
Lyon County,Hartford,66854,32145,442,953,0,0,1,0,0,0,0,0
Lyon County,Neosho Rapids,66864,32145,305,387,1,0,0,0,0,0,0,0
Lyon County,Olpe,66865,32145,603,1189,1,0,1,0,0,0,0,0
