County_Name,County_Population,County_Latitude,County_Longitude,Elementary_Schools,Middle_Schools,High_Schools,Virtual_Schools,Other_Schools,Four_Year_Colleges,Two_Year_Colleges,Less_Than_Two_Year_Colleges,Four_Year_Colleges_With_DS_AI,Two_Year_Colleges_With_DS_AI,Less_Than_Two_Year_Colleges_With_DS_AI,Online_Impact_Score,Total_Program_Impact_Score,Broadband_Access_Index,Internet_Adoption_Pct,Avg_Broadband_Coverage_Pct,Pct_No_Internet,Total_Households,Effective_Access_Score,Median_Household_Income,Poverty_Rate,Unemployment_Rate,Advanced_Degree_Rate,Young_Adult_Bachelors_Plus_Rate,STEM_Employment_Rate,Professional_Services_Rate,Low_Income_Digital_Access_Rate,Has_Programs
Rooks County,4869,39.3460064,-99.3244921,3,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.77068670166666675,84.1,70.1,11.3,2142,0.0,61596,0.053175457,0.021044111695669769,0.176216882,0.240201568,0.038859033,0.027697396,1.469964664,0
Rush County,2957,38.5235962,-99.3091835,2,1,2,1,0,0,0,0,0,0,0,0.0,0.0,0.76188642244,90.4,61.9,9.1,1382,0.0,60288,0.11419646,0.051080550098231828,0.154548529,0.215160075,0.035886818,0.06763285,1.338870432,0
Russell County,6717,38.9160397,-98.7709489,3,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.76243126118245585,86.9,65.6,11.6,3099,0.0,53902,0.15349335,0.018571428571428572,0.129224356,0.180758017,0.039883552,0.074235808,1.482919255,0
Saline County,53801,38.7918043,-97.6514783,10,2,4,1,1,2,2,2,1,0,0,0.0,2.5,0.82186882977435927,87.4,77.0,10.6,22299,0.0,63316,0.123432482,0.035936299504086049,0.197951711,0.2908644,0.038978446,0.03608042,1.373196836,1
Scott County,5071,38.4818768,-100.9063604,1,1,1,0,1,0,0,0,0,0,0,0.0,0.0,0.79339252333333343,81.8,76.9,10.6,2190,0.0,67788,0.08838435,0.011139992573338284,0.226188129,0.333915575,0.033045437,0.054449869,1.905829596,0
Sedgwick County,524810,37.681045,-97.4610535,84,29,22,8,17,88,66,110,2,0,0,2.6,11.4,0.84727009155061694,90.8,78.6,7.2,205024,2.2029022380316041,67675,0.14042855,0.052271102246641325,0.206613822,0.315854937,0.060629765,0.068424396,1.278839023,1
Seward County,21640,37.1809599,-100.8552566,6,2,2,0,1,0,2,0,0,1,0,0.0,1.2,0.82179611247543871,87.0,77.3,10.6,7208,0.0,62269,0.129774938,0.042369772560528249,0.073983364,0.126621322,0.022888336,0.02604865,1.335959885,1
Shawnee County,178315,39.0418053,-95.755664,27,9,9,3,7,32,0,32,1,0,0,0.0,2.4,0.78424601496666679,86.2,70.7,10.9,74528,0.0,66043,0.12368945,0.041579876833906904,0.220357233,0.32334063,0.054687408,0.058100941,1.434228457,1
Sheridan County,2442,39.3505465,-100.4412278,2,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.83846053557777789,92.4,75.3,7.6,1022,0.0,70000,0.104391052,0.0061443932411674347,0.163390663,0.242553191,0.007727975,0.028593509,1.155555556,0
Sherman County,5919,39.3513521,-101.719859,2,0,1,1,2,0,3,0,0,0,0,0.0,0.0,0.84608314063333312,91.8,77.4,7.3,2358,0.0,64444,0.100288081,0.0037771482530689331,0.161513769,0.251380489,0.022432859,0.033807267,1.314148681,0
Smith County,3579,39.7846603,-98.7854295,2,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.79148858093333341,85.0,73.3,12.0,1578,0.0,57024,0.078369906,0.016255605381165918,0.182732607,0.245587683,0.017663818,0.035327635,1.48013245,0
Stafford County,4004,38.0356303,-98.7198888,3,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.84067188469999987,86.4,81.7,12.7,1598,0.0,63786,0.108121957,0.025793650793650792,0.181068931,0.263349074,0.010183299,0.035641548,1.375,0
